src_folder,query,src_dialect,tgt_dialect,level,parse_ok,transpile_ok,footprint_committed,footprint_recomputed,strict_text_roundtrip,exec_equiv_src2dkdb,mismatch_committed
postgresql,simple_select,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,simple_select,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,simple_select,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,simple_select,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,simple_select,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,basic_insert,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,basic_insert,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,basic_insert,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,basic_insert,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,basic_insert,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,basic_update,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,basic_update,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,basic_update,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,basic_update,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,basic_update,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,simple_join,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,simple_join,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,simple_join,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,simple_join,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,simple_join,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,group_by_aggregation,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,group_by_aggregation,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,group_by_aggregation,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,group_by_aggregation,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,group_by_aggregation,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,basic_where_and,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,basic_where_and,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,basic_where_and,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,basic_where_and,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,basic_where_and,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,order_by_limit,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,order_by_limit,postgres,mysql,basic,True,True,False,False,False,,False
postgresql,order_by_limit,postgres,tsql,basic,True,True,False,False,False,,False
postgresql,order_by_limit,postgres,oracle,basic,True,True,False,False,False,,False
postgresql,order_by_limit,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,count_aggregate,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,count_aggregate,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,count_aggregate,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,count_aggregate,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,count_aggregate,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,sum_aggregate,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,sum_aggregate,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,sum_aggregate,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,sum_aggregate,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,sum_aggregate,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,avg_aggregate,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,avg_aggregate,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,avg_aggregate,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,avg_aggregate,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,avg_aggregate,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,in_clause,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,in_clause,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,in_clause,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,in_clause,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,in_clause,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,like_pattern,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,like_pattern,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,like_pattern,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,like_pattern,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,like_pattern,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,between_clause,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,between_clause,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,between_clause,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,between_clause,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,between_clause,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,is_null_check,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,is_null_check,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,is_null_check,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,is_null_check,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,is_null_check,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,distinct_select,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,distinct_select,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,distinct_select,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,distinct_select,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,distinct_select,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,max_min_aggregate,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,max_min_aggregate,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,max_min_aggregate,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,max_min_aggregate,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,max_min_aggregate,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,having_clause,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,having_clause,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,having_clause,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,having_clause,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,having_clause,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,basic_delete,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,basic_delete,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,basic_delete,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,basic_delete,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,basic_delete,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,create_table_basic,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,create_table_basic,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,create_table_basic,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,create_table_basic,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,create_table_basic,postgres,snowflake,basic,True,True,False,False,,,False
postgresql,alter_table_add_column,postgres,postgres,basic,True,True,True,True,False,,False
postgresql,alter_table_add_column,postgres,mysql,basic,True,True,True,True,False,,False
postgresql,alter_table_add_column,postgres,tsql,basic,True,True,True,True,False,,False
postgresql,alter_table_add_column,postgres,oracle,basic,True,True,True,True,False,,False
postgresql,alter_table_add_column,postgres,snowflake,basic,True,True,True,True,False,,False
postgresql,subquery_in,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,subquery_in,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,subquery_in,postgres,tsql,intermediate,True,True,True,True,False,,False
postgresql,subquery_in,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,subquery_in,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,cte_basic,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,cte_basic,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,cte_basic,postgres,tsql,intermediate,True,True,False,False,False,,False
postgresql,cte_basic,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,cte_basic,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,window_function_rank,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,window_function_rank,postgres,mysql,intermediate,True,True,False,False,False,,False
postgresql,window_function_rank,postgres,tsql,intermediate,True,True,False,False,False,,False
postgresql,window_function_rank,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,window_function_rank,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,multiple_joins,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,multiple_joins,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,multiple_joins,postgres,tsql,intermediate,True,True,True,True,False,,False
postgresql,multiple_joins,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,multiple_joins,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,case_statement,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,case_statement,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,case_statement,postgres,tsql,intermediate,True,True,True,True,False,,False
postgresql,case_statement,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,case_statement,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,coalesce_function,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,coalesce_function,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,coalesce_function,postgres,tsql,intermediate,True,True,True,True,False,,False
postgresql,coalesce_function,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,coalesce_function,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,string_aggregation,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,string_aggregation,postgres,mysql,intermediate,True,True,False,False,False,,False
postgresql,string_aggregation,postgres,tsql,intermediate,True,True,False,False,False,,False
postgresql,string_aggregation,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,string_aggregation,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,jsonb_operations,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,jsonb_operations,postgres,mysql,intermediate,True,True,False,False,,,False
postgresql,jsonb_operations,postgres,tsql,intermediate,True,True,False,False,,,False
postgresql,jsonb_operations,postgres,oracle,intermediate,True,True,False,False,,,False
postgresql,jsonb_operations,postgres,snowflake,intermediate,True,True,False,False,,,False
postgresql,array_operations,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,array_operations,postgres,mysql,intermediate,True,True,True,True,False,,False
postgresql,array_operations,postgres,tsql,intermediate,True,True,True,True,False,,False
postgresql,array_operations,postgres,oracle,intermediate,True,True,True,True,False,,False
postgresql,array_operations,postgres,snowflake,intermediate,True,True,True,True,False,,False
postgresql,date_truncation,postgres,postgres,intermediate,True,True,True,True,False,,False
postgresql,date_truncation,postgres,mysql,intermediate,True,True,False,False,False,,False
